flight_number,origin_station_code,destination_station_code,record_locator,arrival_delay_minutes,passenger_class,number_of_legs,loyalty_program_level,generation,fleet_type_description,actual_flown_miles,food_satisfaction_score,feedback_ID
3450,ATX,EWX,ENXXG5,8,Economy,1,non-elite,Gen X,ERJ-170,745,3,F_2364
931,SFX,LHX,NTXX5N,-5,Economy,1,non-elite,Boomer,B787-9,5368,3,F_2365
5346,DSX,DEX,IFXXMF,0,Economy,2,non-elite,Gen X,ERJ-175,589,3,F_2366
909,AMX,ORX,L2XX0M,1,Economy,2,non-elite,Boomer,B787-8,4120,4,F_2367
2105,DCX,DEX,E3XX6R,-10,Economy,1,premier 1k,Boomer,B737-800,1476,3,F_2368
1229,IAX,DEX,APXXCS,32,Economy,2,non-elite,Gen X,B777-200,1452,4,F_2369
2308,DEX,LIX,BFXXZ2,3,Economy,2,non-elite,Millennial,B757-200,3414,4,F_2370
885,IAX,FCX,F2XXEM,18,Economy,2,non-elite,Boomer,B787-8,4505,2,F_2371
2108,LAX,ORX,ERXXML,-12,Economy,2,non-elite,Gen X,B737-800,1515,2,F_2372
495,SNX,EWX,G5XXZL,40,Economy,1,non-elite,Boomer,B737-700,2433,3,F_2373
2650,ORX,LAX,E7XXPL,-28,Economy,1,non-elite,Gen X,B757-300,1745,3,F_2374
547,IAX,ATX,EGXX80,6,Economy,1,non-elite,Gen X,A319-100,533,3,F_2375
292,IAX,SMX,J3XX6P,-10,Economy,2,premier gold,Boomer,B737-800,2358,4,F_2376
387,DBX,EWX,NQXXDH,50,Economy,1,premier silver,Gen X,B767-300,4526,4,F_2377
127,IAX,DUX,M3XX8Z,-33,Economy,1,non-elite,Gen X,B767-400,3405,1,F_2378
1100,SJX,IAX,L2XXPT,-17,Economy,1,non-elite,Boomer,B737-800,1552,2,F_2379
2436,SFX,LAX,CLXXMF,-11,Economy,1,non-elite,Millennial,A320-200,337,3,F_2380
247,ORX,LGX,MHXXS9,38,Economy,1,premier silver,Gen Z,A319-100,733,1,F_2381
1170,ORX,COX,EXXXEM,11,Economy,2,non-elite,Boomer,B737-800,911,5,F_2382
122,BCX,EWX,BVXX2T,-32,Economy,1,non-elite,Millennial,B777-200,3848,1,F_2383
263,DEX,LHX,JBXX8F,21,Economy,2,non-elite,Boomer,B787-9,4671,1,F_2384
873,TPX,SFX,H7XXNS,-17,Economy,1,non-elite,Boomer,B777-300,6469,3,F_2385
1893,DEX,BOX,GWXX9R,5,Economy,1,non-elite,Gen X,B737-800,1754,4,F_2386
496,BOX,EWX,E2XXRV,-15,Economy,2,non-elite,Millennial,B737-MAX8,200,3,F_2387
1430,IAX,EWX,PHXXWL,-19,Economy,3,non-elite,Millennial,B777-200,1400,2,F_2388
2411,LAX,IAX,OJXX2S,2,Economy,1,non-elite,Millennial,B777-200,1379,5,F_2389
3622,GRX,EWX,HSXX4K,-12,Economy,2,premier silver,Gen X,ERJ-175,605,3,F_2390
873,TPX,SFX,PQXX6W,-21,Economy,2,non-elite,Boomer,B777-300,6469,1,F_2391
390,EWX,DEX,M1XX2E,13,Economy,2,premier silver,Boomer,B737-900,1605,1,F_2392
270,BOX,EWX,NHXXF6,-14,Economy,1,non-elite,Boomer,B737-700,2477,1,F_2393
5622,OMX,DEX,EMXX1G,6,Economy,1,non-elite,Gen Z,ERJ-175,472,2,F_2394
247,LAX,HNX,NEXXKK,6,Economy,1,non-elite,Gen X,B737-900,2556,1,F_2395
4741,DTX,IAX,DTXXNS,-16,Economy,1,premier gold,Boomer,ERJ-175,1076,5,F_2396
1812,ORX,BDX,IQXXLV,13,Economy,2,non-elite,Boomer,A319-100,783,4,F_2397
2289,ORX,IAX,BSXX56,-22,Economy,1,non-elite,Boomer,B757-300,925,4,F_2398
1837,SEX,SFX,EMXXM7,-19,Economy,1,premier gold,Boomer,B737-800,678,5,F_2399
582,INX,ORX,B4XXRS,5,Economy,2,non-elite,Gen X,B737-800,177,4,F_2400
988,ORX,CDX,D3XXLZ,-1,Economy,1,premier silver,Boomer,B787-8,4153,2,F_2401
1888,DEX,BDX,L9XXH4,14,Economy,2,non-elite,Boomer,B737-800,1671,5,F_2402
463,IAX,PDX,GMXXH0,-38,Economy,2,non-elite,Gen X,B737-MAX9,2327,2,F_2403
1503,EWX,ORX,K3XXPF,-27,Economy,1,non-elite,Boomer,B757-200,719,2,F_2404
826,NRX,SPX,CCXXMQ,-27,Economy,1,non-elite,Boomer,B737-800,1459,5,F_2405
540,SFX,OGX,NNXXE9,-1,Economy,1,non-elite,Boomer,B737-MAX9,2338,1,F_2406
1677,TPX,EWX,EDXXGP,-14,Economy,1,non-elite,Boomer,B737-MAX8,998,2,F_2407
1547,SFX,EWX,M8XX3Y,-12,Economy,1,premier gold,Silent,B777-300,2565,5,F_2408
1173,ORX,CLX,JGXXC8,-11,Economy,1,premier silver,Gen X,A320-200,599,2,F_2409
3632,ORX,INX,A0XXRT,-27,Economy,2,non-elite,Gen X,ERJ-170,177,1,F_2410
933,IAX,FRX,FPXX1E,-8,Economy,2,premier silver,Gen X,B777-200,4082,3,F_2411
972,FCX,ORX,DFXXXH,-18,Economy,1,non-elite,Boomer,B787-8,4823,4,F_2412
423,DEX,BOX,LYXXZ8,102,Economy,1,premier silver,Boomer,B737-MAX9,1754,5,F_2413
819,EZX,IAX,EDXXEZ,-28,Economy,1,non-elite,Gen X,B777-200,5062,3,F_2414
42,FCX,EWX,PMXX9G,-14,Economy,1,non-elite,Boomer,B777-300,4292,1,F_2415
1406,BZX,IAX,ITXXPG,-20,Economy,2,non-elite,Boomer,B737-800,965,4,F_2416
264,LHX,DEX,LXXXVZ,0,Economy,1,premier 1k,Gen X,B787-9,4671,1,F_2417
2013,SFX,EWX,IGXX39,16,Economy,1,non-elite,Boomer,B777-200,2565,2,F_2418
5419,SLX,DEX,PQXX5N,-11,Economy,2,non-elite,Boomer,ERJ-175,391,2,F_2419
864,SFX,SYX,J2XXTD,-3,Economy,1,premier gold,Boomer,B777-300,7417,4,F_2420
5535,SFX,MCX,CSXXVK,47,Economy,2,non-elite,Millennial,ERJ-175,1498,2,F_2421
68,KOX,ORX,H7XX2B,-27,Economy,2,non-elite,Boomer,B787-10,4215,1,F_2422
920,LHX,IAX,IYXX5X,-19,Economy,1,non-elite,Millennial,B777-200,3677,4,F_2423
1647,SYX,DEX,JNXX4D,15,Economy,1,non-elite,Boomer,A319-100,1492,5,F_2424
1748,EWX,PWX,P7XX45,-26,Economy,3,non-elite,Boomer,B737-900,284,2,F_2425
289,AUX,ORX,EJXXF3,-7,Economy,2,premier 1k,Boomer,A320-200,978,5,F_2426
901,LHX,SFX,ATXXMQ,6,Economy,2,non-elite,Boomer,B777-200,5368,5,F_2427
1905,ORX,EWX,PRXXF7,-22,Economy,1,premier gold,Gen X,B737-900,719,1,F_2428
1300,SBX,SFX,B5XX3G,-6,Economy,1,non-elite,Boomer,A320-200,262,2,F_2429
1064,EWX,MEX,IYXX7R,11,Economy,1,non-elite,Boomer,B737-700,2076,3,F_2430
2034,SFX,ORX,NPXXEN,7,Economy,1,premier silver,Millennial,B757-300,1846,1,F_2431
1717,PHX,DEX,ILXXMC,-18,Economy,2,non-elite,Gen X,B737-800,1557,2,F_2432
1841,DEX,IAX,K5XXRF,-19,Economy,1,non-elite,Gen X,B737-900,1452,5,F_2433
683,EWX,SFX,J4XXYE,19,Economy,1,premier platinum,Gen X,B787-9,2565,3,F_2434
751,YYX,IAX,CEXXDR,-6,Economy,2,non-elite,Boomer,B737-900,1747,5,F_2435
729,AUX,EWX,P3XXCZ,-32,Economy,1,non-elite,Boomer,A319-100,1504,4,F_2436
2258,SNX,EWX,B0XXEH,-1,Economy,1,non-elite,Boomer,B737-700,2433,3,F_2437
678,ORX,BOX,ITXX9M,-2,Economy,1,non-elite,Gen X,B737-MAX9,867,4,F_2438
2631,SFX,PHX,PRXX3E,-22,Economy,1,non-elite,Gen X,B737-800,2521,1,F_2439
1262,EWX,IAX,I0XX7Z,21,Economy,2,premier silver,Gen X,B737-MAX8,1400,2,F_2440
1174,SJX,EWX,BVXXCN,38,Economy,1,premier silver,Boomer,B767-400,1608,4,F_2441
219,HNX,ORX,EDXX7N,-15,Economy,1,non-elite,Millennial,B787-10,4244,1,F_2442
1634,IAX,ORX,K1XXW7,7,Economy,1,premier silver,Boomer,B737-900,925,3,F_2443
2355,PHX,DEX,J6XX27,-12,Economy,2,non-elite,Gen Z,B737-900,602,5,F_2444
550,CHX,EWX,GRXXW1,-14,Economy,1,non-elite,Gen X,A319-100,628,5,F_2445
3019,CDX,IAX,B6XX2V,12,Economy,1,non-elite,Millennial,B777-200,3861,4,F_2446
988,ORX,CDX,M7XXRT,-18,Economy,2,non-elite,Millennial,B787-9,4153,3,F_2447
843,SYX,LAX,HPXX7R,-17,Economy,2,non-elite,Boomer,B787-9,7487,1,F_2448
846,ORX,GRX,ECXX7Z,-22,Economy,2,premier platinum,Gen X,B787-9,5222,4,F_2449
955,SFX,TLX,LYXXWD,14,Economy,1,premier silver,Silent,B777-200,7421,4,F_2450
1723,OGX,SFX,D6XXPZ,-25,Economy,1,non-elite,Boomer,B777-200,2338,1,F_2451
881,IAX,LHX,D3XXK2,66,Economy,1,premier silver,Gen X,B777-200,4834,1,F_2452
653,BWX,IAX,CLXXZK,-8,Economy,1,premier 1k,Boomer,B737-900,1235,2,F_2453
1499,IAX,AUX,GDXX51,-15,Economy,2,non-elite,Boomer,B737-900,141,4,F_2454
62,MEX,SFX,DHXX1T,104,Economy,3,non-elite,Gen X,B787-9,7853,1,F_2455
85,EWX,TLX,HJXXTB,-22,Economy,1,non-elite,Boomer,B787-10,5692,5,F_2456
1183,DEX,SMX,ABXXDS,-16,Economy,2,non-elite,Millennial,B737-900,910,2,F_2457
488,SFX,IAX,LGXXQG,-2,Economy,1,non-elite,Boomer,B737-900,2419,3,F_2458
568,ORX,MSX,O5XXL5,-28,Economy,1,non-elite,Gen X,B737-800,837,3,F_2459
2453,EWX,STX,ALXXBJ,-6,Economy,1,non-elite,Gen Z,B737-900,1477,2,F_2460
1582,SAX,DEX,CSXX4L,-10,Economy,2,non-elite,Boomer,B737-800,853,1,F_2461
742,YVX,DEX,KZXXVF,18,Economy,2,non-elite,Gen X,B737-800,1114,1,F_2462
126,ATX,EWX,BGXX1B,-9,Economy,1,non-elite,Silent,B777-200,4948,3,F_2463
5848,IAX,MKX,CHXXR5,-9,Economy,1,non-elite,Boomer,ERJ-175,984,1,F_2464
385,DEX,HNX,JSXXX0,0,Economy,2,non-elite,Millennial,B777-200,3365,1,F_2465
1721,BNX,ORX,NHXXMW,30,Economy,1,premier 1k,Boomer,A319-100,409,5,F_2466
1614,IAX,EWX,L8XX3Z,-12,Economy,2,non-elite,Boomer,B737-900,1400,3,F_2467
5240,MAX,IAX,OWXXCW,-13,Economy,1,premier platinum,Millennial,ERJ-175,429,3,F_2468
505,EWX,SAX,P3XXGH,-41,Economy,1,non-elite,Boomer,B737-900,2425,1,F_2469
1064,EWX,MEX,AKXX5T,147,Economy,1,non-elite,Gen X,B737-700,2076,3,F_2470
2227,ONX,SFX,J4XXCQ,-9,Economy,1,non-elite,Boomer,A320-200,363,3,F_2471
1705,CLX,ORX,G7XXL5,-34,Economy,1,non-elite,Gen X,B737-800,316,2,F_2472
760,RSX,EWX,ETXXJK,-13,Economy,1,premier silver,Boomer,B737-800,1068,1,F_2473
1707,ITX,LAX,L2XXZ7,-13,Economy,1,non-elite,Boomer,B737-900,2449,1,F_2474
966,NAX,EWX,LFXXE0,6,Economy,1,non-elite,Boomer,B767-300,4416,2,F_2475
3432,CLX,EWX,CDXXND,-23,Economy,1,non-elite,Boomer,ERJ-175,404,3,F_2476
1638,PHX,EWX,NGXXQG,14,Economy,1,premier silver,Millennial,B737-800,2133,2,F_2477
1781,SFX,TPX,IVXX09,-10,Economy,1,non-elite,Gen X,B737-800,2392,5,F_2478
63,IAX,GRX,IDXXLV,23,Economy,2,premier platinum,Gen X,B787-9,4901,2,F_2479
2276,SEX,IAX,JBXXKQ,-6,Economy,2,non-elite,Gen X,B737-900,2306,5,F_2480
214,IAX,SNX,EHXXX7,-13,Economy,2,non-elite,Gen X,B737-700,1347,3,F_2481
220,ORX,HNX,J5XX52,-29,Economy,1,non-elite,Gen X,B787-10,4244,1,F_2482
307,BNX,IAX,PGXX24,-33,Economy,1,non-elite,Boomer,B737-700,657,5,F_2483
1573,DEX,EWX,B2XXET,39,Economy,1,non-elite,Millennial,B787-9,1605,2,F_2484
571,EWX,RDX,B2XXE7,-6,Economy,1,non-elite,Gen Z,B737-700,416,5,F_2485
1947,IAX,IAX,N8XXSC,-12,Economy,1,non-elite,Millennial,B767-400,1190,3,F_2486
524,JFX,SFX,PVXXPN,-19,Economy,2,premier 1k,Gen X,B757-200,2586,4,F_2487
1027,DEX,AUX,G9XXSQ,38,Economy,1,premier gold,Gen X,A320-200,775,2,F_2488
5316,MKX,ORX,A7XX3E,35,Economy,2,non-elite,Boomer,CRJ-700,67,5,F_2489
1205,EWX,SFX,JDXXMM,-6,Economy,2,premier silver,Gen X,B777-300,2565,2,F_2490
4436,EWX,DCX,D0XXNT,119,Economy,3,premier gold,Boomer,CRJ-550,199,1,F_2491
86,TLX,EWX,IQXX1W,18,Economy,1,premier gold,Boomer,B787-10,5692,2,F_2492
41,EWX,FCX,OPXXDJ,-23,Economy,1,non-elite,Boomer,B777-300,4292,5,F_2493
1732,KOX,DEX,NDXXPP,-20,Economy,2,non-elite,Boomer,B757-200,3331,4,F_2494
250,TFX,EWX,NXXXEM,-26,Economy,1,non-elite,Boomer,B757-200,3344,2,F_2495
4608,STX,ORX,AWXXY6,-25,Economy,2,non-elite,Boomer,CRJ-550,258,1,F_2496
2673,SEX,DEX,H1XXPV,-13,Economy,2,non-elite,Gen X,B737-800,1024,5,F_2497
2643,ORX,EWX,MDXXK3,-5,Economy,2,non-elite,Boomer,B737-900,719,1,F_2498
5930,IDX,DEX,B0XX98,-23,Economy,2,non-elite,Gen X,ERJ-175,458,5,F_2499
390,EWX,DEX,LXXX48,-19,Economy,2,non-elite,Gen X,B737-900,1605,3,F_2500
922,LHX,EWX,PPXX33,42,Economy,1,premier gold,Boomer,B767-300,3466,4,F_2501
412,SNX,HNX,ODXX7E,7,Economy,1,premier silver,Gen X,B737-700,2584,3,F_2502
2235,RIX,ORX,HSXXTP,-18,Economy,2,non-elite,Gen X,A320-200,642,3,F_2503
1870,SFX,IAX,L5XXBC,-34,Economy,1,premier silver,Boomer,B777-300,2419,1,F_2504
1277,LAX,CUX,G8XXRM,-6,Economy,1,non-elite,Boomer,B737-900,2119,2,F_2505
2486,ORX,DEX,M1XX05,-23,Economy,2,non-elite,Boomer,B737-800,888,2,F_2506
6150,IAX,GSX,ECXXLY,-31,Economy,1,non-elite,Boomer,ERJ-175,838,2,F_2507
3446,ORX,CMX,EVXXCC,-13,Economy,2,non-elite,Boomer,ERJ-170,296,2,F_2508
5464,ORX,OKX,BNXX3M,-9,Economy,2,non-elite,Gen X,ERJ-175,693,5,F_2509
1636,LAX,IAX,IGXXW1,40,Economy,1,non-elite,Millennial,B737-900,2288,1,F_2510
958,GVX,EWX,L2XXHD,-27,Economy,1,non-elite,Millennial,B767-300,3878,1,F_2511
6105,MTX,IAX,AWXX7M,10,Economy,2,premier silver,Boomer,ERJ-175,411,3,F_2512
3716,EWX,YUX,PYXX95,-9,Economy,2,non-elite,Gen X,ERJ-170,330,3,F_2513
2162,ORX,IAX,K1XX1V,13,Economy,1,premier silver,Boomer,B777-200,925,2,F_2514
1984,MSX,DEX,FCXXRB,-8,Economy,1,non-elite,Gen X,A319-100,1062,2,F_2515
2301,SNX,DEX,JEXXJD,-6,Economy,1,non-elite,Gen X,B737-800,846,5,F_2516
765,DEX,BOX,EVXX9R,8,Economy,2,premier platinum,Boomer,B737-800,1754,1,F_2517
1298,LAX,EWX,GEXXR1,-29,Economy,1,non-elite,Boomer,B737-MAX8,2227,2,F_2518
150,EWX,GRX,ICXXZM,5,Economy,1,non-elite,Millennial,B777-200,4758,1,F_2519
478,BOX,SFX,NEXX6H,-26,Economy,1,non-elite,Boomer,B737-MAX9,2704,1,F_2520
711,ORX,AUX,HJXXEE,-33,Economy,1,non-elite,Silent,A320-200,978,4,F_2521
5899,SLX,ORX,F6XXTX,-3,Economy,1,non-elite,Gen X,ERJ-175,1249,5,F_2522
513,MIX,IAX,E1XXTG,-14,Economy,1,non-elite,Millennial,B737-900,921,5,F_2523
2658,MFX,DEX,FGXXFW,-20,Economy,1,non-elite,Silent,B737-800,964,4,F_2524
141,ORX,TLX,GWXX51,13,Economy,2,non-elite,Boomer,B787-8,6180,1,F_2525
1189,RDX,DEX,EBXXZ3,-18,Economy,2,non-elite,Boomer,A319-100,899,2,F_2526
944,LIX,IAX,JFXXV9,26,Economy,1,premier silver,Millennial,B757-200,3592,2,F_2527
120,EDX,ORX,JLXX8Z,-45,Economy,1,non-elite,Boomer,B757-200,3713,3,F_2528
1866,LAX,ORX,CSXXX3,-24,Economy,1,non-elite,Gen Z,B737-MAX9,1745,3,F_2529
6347,IAX,GDX,DVXX60,-22,Economy,1,non-elite,Gen X,ERJ-175,820,3,F_2530
977,EWX,SNX,B9XX2E,-15,Economy,1,non-elite,Gen X,B757-200,3096,2,F_2531
488,SFX,IAX,DTXXR7,-5,Economy,1,non-elite,Boomer,B737-MAX9,2419,5,F_2532
958,GVX,EWX,B9XX45,-28,Economy,3,premier silver,Boomer,B767-300,3878,2,F_2533
1555,DEX,LGX,NDXXW7,-12,Economy,2,non-elite,Boomer,B737-800,1619,3,F_2534
287,CLX,DEX,DHXX7K,-21,Economy,1,non-elite,Boomer,B737-800,1201,4,F_2535
985,CDX,SFX,A6XX18,-11,Economy,1,non-elite,Gen X,B777-200,5583,2,F_2536
407,DEX,LGX,JRXX58,11,Economy,1,premier 1k,Gen X,B737-800,1619,2,F_2537
15,EWX,LHX,JMXXM3,-10,Economy,2,premier 1k,Gen X,B767-300,3466,2,F_2538
31,EWX,MUX,H8XXNR,4,Economy,1,global services,Gen X,B777-200,4052,1,F_2539
1712,SEX,DEX,FHXX0L,-14,Economy,2,premier 1k,Boomer,B737-800,1024,3,F_2540
2642,SFX,SAX,CCXXL1,-22,Economy,1,premier 1k,Gen X,A320-200,447,5,F_2541
2243,ORX,LAX,IRXX1T,-34,Economy,2,non-elite,Millennial,B737-900,1745,2,F_2542
219,HNX,ORX,ARXX09,-14,Economy,1,non-elite,Millennial,B787-10,4244,1,F_2543
318,EWX,DUX,ISXXVD,36,Economy,2,non-elite,Boomer,B757-200,3193,2,F_2544
57,CDX,EWX,EGXX9V,23,Economy,1,premier silver,Silent,B777-300,3649,4,F_2545
28,DEX,LHX,KZXXZ7,-10,Economy,1,non-elite,Gen X,B787-9,4671,2,F_2546
1129,SFX,EWX,BYXXHL,-14,Economy,1,non-elite,Gen Z,B777-300,2565,2,F_2547
1404,IAX,PNX,DWXXS6,0,Economy,2,non-elite,Boomer,B737-700,489,4,F_2548
5553,GUX,DEX,OZXXVD,64,Economy,2,premier silver,Millennial,CRJ-700,152,3,F_2549
510,FCX,EWX,FBXX8V,-7,Economy,2,non-elite,Boomer,B777-200,4292,5,F_2550
981,ORX,DUX,MPXXBJ,-18,Economy,1,non-elite,Boomer,B757-200,3674,2,F_2551
588,PSX,DEX,K2XXPX,-16,Economy,2,non-elite,Boomer,B737-800,776,3,F_2552
5516,GSX,DEX,M7XXNZ,-16,Economy,1,non-elite,Millennial,ERJ-175,1278,4,F_2553
2277,IAX,LAX,PBXXY4,-33,Economy,1,premier 1k,Boomer,B737-900,2288,2,F_2554
1506,BZX,DEX,CTXXZB,14,Economy,2,non-elite,Millennial,B737-900,525,3,F_2555
2169,SNX,ORX,MLXX0H,-11,Economy,1,non-elite,Gen X,B737-700,1726,3,F_2556
416,MXX,ORX,M8XXRC,-1,Economy,1,non-elite,Boomer,B787-8,4523,2,F_2557
306,BOX,IAX,NFXXVW,-6,Economy,1,premier platinum,Boomer,A320-200,1597,5,F_2558
207,BOX,IAX,PDXXK8,19,Economy,1,non-elite,Gen X,B737-800,2222,3,F_2559
6154,SLX,IAX,IFXXL3,-9,Economy,1,premier platinum,Boomer,ERJ-175,1195,4,F_2560
2139,ORX,EWX,IFXXWQ,28,Economy,1,non-elite,Boomer,B757-200,719,4,F_2561
149,GRX,EWX,D8XXFH,78,Economy,1,non-elite,Boomer,B777-200,4758,4,F_2562
1907,LGX,ORX,H5XXR1,-8,Economy,1,premier silver,Boomer,A320-200,733,3,F_2563
547,IAX,ATX,AQXX7D,-6,Economy,2,non-elite,Boomer,A319-100,533,4,F_2564
1815,MCX,DEX,M8XX06,-21,Economy,1,non-elite,Silent,B737-900,1545,4,F_2565
2156,IAX,SFX,FQXXKS,-11,Economy,1,premier gold,Gen X,B737-900,1635,1,F_2566
6051,RDX,IAX,P3XXDR,-12,Economy,1,non-elite,Gen X,ERJ-175,1043,3,F_2567
929,LHX,ORX,LSXXP7,20,Economy,2,premier platinum,Boomer,B767-300,3953,3,F_2568
339,BTX,IAX,GTXXJM,11,Economy,2,non-elite,Boomer,A320-200,442,3,F_2569
2198,PHX,ORX,A3XXM0,-21,Economy,1,non-elite,Boomer,B737-MAX9,678,2,F_2570
84,DEX,EWX,F3XX10,-24,Economy,1,premier platinum,Gen X,B787-9,7323,3,F_2571
426,MCX,DEX,G4XX66,-17,Economy,2,non-elite,Boomer,B737-800,532,5,F_2572
506,SFX,IAX,GKXXBW,-6,Economy,1,non-elite,Boomer,B777-200,1635,2,F_2573
1200,EUX,DEX,LNXX61,66,Economy,2,premier platinum,Millennial,B737-800,997,1,F_2574
1835,DFX,EWX,EGXXMZ,233,Economy,1,non-elite,Millennial,A320-200,1372,4,F_2575
8,IAX,NRX,IRXXHD,-12,Economy,2,premier gold,Boomer,B777-200,6643,1,F_2576
775,EWX,MCX,DJXXVN,-4,Economy,2,non-elite,Silent,B737-900,938,3,F_2577
1142,HNX,SFX,G2XXVT,-25,Economy,1,non-elite,Boomer,B777-200,2399,3,F_2578
1414,LAX,IAX,CHXXN8,-17,Economy,1,non-elite,Millennial,B737-900,1222,5,F_2579
161,MUX,IAX,FRXXHH,10,Economy,1,premier gold,Gen X,B767-300,5417,2,F_2580
2058,YVX,IAX,MHXXT1,0,Economy,1,non-elite,Millennial,B737-MAX9,1971,4,F_2581
5573,ORX,ALX,GPXX6Y,-10,Economy,2,non-elite,Silent,ERJ-175,723,5,F_2582
2651,LAX,HNX,MNXX1L,-31,Economy,1,non-elite,Millennial,B737-800,2556,1,F_2583
1241,RDX,DEX,L1XX9H,-21,Economy,1,non-elite,Boomer,B737-800,1436,5,F_2584
394,BWX,DEX,NXXXNK,-7,Economy,1,non-elite,Boomer,B737-800,1491,3,F_2585
592,SEX,EWX,MKXX8H,56,Economy,2,non-elite,Boomer,B737-900,2401,2,F_2586
1686,LIX,DEX,EBXX0E,-11,Economy,1,non-elite,Gen X,B757-200,3414,4,F_2587
2457,LAX,EWX,I2XXFP,57,Economy,1,non-elite,Gen X,B787-10,2454,2,F_2588
243,PDX,SFX,J9XXR4,-12,Economy,2,premier silver,Boomer,B737-800,550,2,F_2589
253,HNX,IAX,FPXXRR,-22,Economy,1,non-elite,Boomer,B777-200,3904,4,F_2590
497,DEX,MSX,MGXXV1,-10,Economy,2,non-elite,Boomer,B737-800,826,4,F_2591
2474,LAX,EWX,PZXXP0,-3,Economy,1,non-elite,Boomer,B777-200,2454,3,F_2592
683,EWX,SFX,OBXXB0,-26,Economy,2,premier gold,Gen X,B777-200,2565,1,F_2593
2214,LAX,EWX,FFXXRJ,-4,Economy,1,non-elite,Gen X,B777-200,2454,2,F_2594
2085,ORX,SFX,HLXX1L,-23,Economy,1,non-elite,Gen X,B737-900,1846,3,F_2595
2448,RSX,EWX,FBXXLG,-22,Economy,1,non-elite,Silent,B737-700,1068,4,F_2596
45,SFX,ZRX,JZXX18,-3,Economy,2,non-elite,Gen X,B777-200,5841,3,F_2597
970,AMX,SFX,GYXXKB,10,Economy,1,non-elite,Gen X,B787-9,5473,5,F_2598
935,EWX,LHX,PWXXC0,-1,Economy,1,non-elite,Silent,B767-300,3466,1,F_2599
202,HNX,GUX,M7XXZ8,-30,Economy,2,premier silver,Boomer,B777-300,3801,4,F_2600
1168,SAX,IAX,GPXXHT,1,Economy,2,non-elite,Millennial,B737-900,1303,4,F_2601
63,IAX,GRX,CPXXHK,18,Economy,2,non-elite,Gen X,B787-9,4901,1,F_2602
170,VCX,EWX,IKXX5F,-24,Economy,1,non-elite,Silent,B767-300,4169,4,F_2603
6298,IAX,MTX,PVXX55,-10,Economy,1,premier silver,Millennial,ERJ-175,411,4,F_2604
757,DEX,JAX,DEXXV7,880,Economy,2,non-elite,Silent,A320-200,406,2,F_2605
1932,SFX,ONX,HJXXWM,-13,Economy,2,non-elite,Millennial,A320-200,363,1,F_2606
885,IAX,FCX,HHXXH7,1,Economy,1,non-elite,Boomer,B787-8,4505,4,F_2607
944,LIX,IAX,IJXX8C,-13,Economy,1,non-elite,Silent,B757-200,3592,1,F_2608
1223,ATX,ORX,FVXXQP,-8,Economy,1,non-elite,Silent,B737-700,606,2,F_2609
225,ORX,EWX,DTXXWY,-2,Economy,1,premier 1k,Millennial,A320-200,719,4,F_2610
963,EWX,BEX,L3XXVG,-12,Economy,2,premier silver,Millennial,B767-400,3986,3,F_2611
202,HNX,GUX,CMXXGH,-6,Economy,1,non-elite,Gen X,B777-300,3801,2,F_2612
6074,MFX,IAX,HSXXN4,-26,Economy,1,non-elite,Gen X,ERJ-175,316,3,F_2613
1185,IAX,MSX,J3XX3Q,-15,Economy,1,premier silver,Gen X,B737-MAX8,305,3,F_2614
1686,LIX,DEX,PTXXN4,-14,Economy,1,non-elite,Gen X,B757-200,3414,5,F_2615
2116,DEX,RNX,B8XX7F,-4,Economy,2,non-elite,Boomer,B737-800,804,5,F_2616
2675,EWX,LAX,DGXX5Z,-12,Economy,2,non-elite,Silent,B757-200,2454,2,F_2617
1661,IAX,SAX,FYXXFJ,-23,Economy,1,non-elite,Millennial,B737-900,2253,1,F_2618
341,ATX,DEX,DYXXDL,-14,Economy,2,premier silver,Gen X,B737-800,1199,3,F_2619
334,ORX,SYX,E5XXM2,2,Economy,2,premier silver,Boomer,A319-100,607,3,F_2620
970,AMX,SFX,P0XXB0,79,Economy,1,non-elite,Gen X,B787-9,5473,4,F_2621
1177,PBX,EWX,EBXXFW,-12,Economy,1,non-elite,Boomer,B737-900,1024,5,F_2622
464,PUX,EWX,FLXXTB,-25,Economy,1,non-elite,Boomer,B737-900,1563,4,F_2623
2652,TPX,EWX,G0XXFE,2,Economy,1,premier silver,Gen X,A320-200,998,4,F_2624
1268,ORX,YYX,HKXXXY,18,Economy,2,non-elite,Millennial,A320-200,437,5,F_2625
1955,SFX,DCX,A1XX14,-13,Economy,1,non-elite,Millennial,B737-800,2442,1,F_2626
644,KOX,SFX,C6XXQX,-7,Economy,1,non-elite,Boomer,B737-900,2370,2,F_2627
129,GIX,IAX,PCXXLC,-17,Economy,1,premier 1k,Gen X,B767-300,5016,2,F_2628
1182,LAX,IAX,E3XXC7,-10,Economy,1,global services,Gen X,B737-900,1222,1,F_2629
916,IAX,CDX,NWXXYY,3,Economy,1,non-elite,Gen X,B777-200,3861,2,F_2630
723,ORX,FLX,BFXXCM,-7,Economy,1,non-elite,Millennial,B737-MAX9,1182,5,F_2631
1795,OGX,SFX,CRXXVR,-18,Economy,2,non-elite,Gen X,B737-800,2338,2,F_2632
41,EWX,FCX,G4XXGP,27,Economy,1,non-elite,Boomer,B777-300,4292,1,F_2633
820,IAX,EZX,GTXXLZ,-21,Economy,1,non-elite,Boomer,B777-200,5062,1,F_2634
